 time            v(uio_in_0)     v(analog_0)     v(analog_1)     v(analog_2)    
 1.37598290e-04  1.50000000e+00  7.57608069e-01  3.62970057e-01  2.76838761e-06 
 1.38598290e-04  1.50000000e+00  7.57648695e-01  3.62485317e-01  2.76838761e-06 
 1.39598290e-04  1.50000000e+00  7.57689019e-01  3.62006818e-01  2.76838761e-06 
 1.40598290e-04  1.50000000e+00  7.57729040e-01  3.61534496e-01  2.76838761e-06 
 1.41598290e-04  1.50000000e+00  7.57768755e-01  3.61068285e-01  2.76838761e-06 
 1.42598290e-04  1.50000000e+00  7.57808164e-01  3.60608124e-01  2.76838761e-06 
 1.43598290e-04  1.50000000e+00  7.57847264e-01  3.60153950e-01  2.76838761e-06 
 1.44598290e-04  1.50000000e+00  7.57886055e-01  3.59705704e-01  2.76838761e-06 
 1.45598290e-04  1.50000000e+00  7.57924534e-01  3.59263325e-01  2.76838761e-06 
 1.46598290e-04  1.50000000e+00  7.57962701e-01  3.58826757e-01  2.76838761e-06 
 1.47598290e-04  1.50000000e+00  7.58000553e-01  3.58395942e-01  2.76838761e-06 
 1.48598290e-04  1.50000000e+00  7.58038089e-01  3.57970825e-01  2.76838761e-06 
 1.49598290e-04  1.50000000e+00  7.58075308e-01  3.57551350e-01  2.76838761e-06 
 1.50598290e-04  1.50000000e+00  7.58112209e-01  3.57137466e-01  2.76838761e-06 
 1.51598290e-04  1.50000000e+00  7.58148788e-01  3.56729118e-01  2.76838761e-06 
 1.52598290e-04  1.50000000e+00  7.58185047e-01  3.56326257e-01  2.76838761e-06 
 1.53598290e-04  1.50000000e+00  7.58220982e-01  3.55928832e-01  2.76838761e-06 
 1.54598290e-04  1.50000000e+00  7.58256592e-01  3.55536792e-01  2.76838761e-06 
 1.55598290e-04  1.50000000e+00  7.58291877e-01  3.55150092e-01  2.76838761e-06 
 1.56598290e-04  1.50000000e+00  7.58326834e-01  3.54768682e-01  2.76838761e-06 
 1.57598290e-04  1.50000000e+00  7.58361463e-01  3.54392516e-01  2.76838761e-06 
 1.58598290e-04  1.50000000e+00  7.58395761e-01  3.54021550e-01  2.76838761e-06 
 1.59598290e-04  1.50000000e+00  7.58429728e-01  3.53655739e-01  2.76838761e-06 
